timestamp,date,hour,point_id,count,min,max,mean,median,mode
251007_1003,251007,1003,573-04,36,0.004928684,0.019027061,0.008903987,0.008768697,0.004928684
251008_0951,251008,951,573-04,46,0,0.014723943,0.008120656,0.010085931,0
251008_1151,251008,1151,573-04,107,-0.004141441,0.008486322,0.00325541,0.003219682,0
251013_0841,251013,841,8100,87,-217.0830322,207.9367218,39.40832535,177.3844437,-217.0830322
251013_0900,251013,900,8106,396,175.4052841,229.6399796,198.358199,201.7633392,175.4052841
251013_1020,251013,1020,8106,269,176.0435211,218.2812149,195.8635479,203.14991,176.0435211
251014_1048,251014,1048,8109,431,167.1148773,172.132251,169.6703831,169.7069916,167.1148773
251014_1215,251014,1215,8105,306,192.8132721,215.4395187,212.3385377,212.4025131,192.8132721
251014_1308,251014,1308,8107,348,188.7809326,193.044397,190.650578,190.6721741,188.7809326
251015_0902,251015,902,8109,42,144.7864151,167.8620575,149.1240277,148.5810654,144.7864151
251015_0910,251015,910,8109,18,131.3930099,137.8774292,133.8838264,133.4404701,131.3930099
251015_0916,251015,916,8105,24,191.9659515,208.402597,206.8449709,207.6122337,191.9659515
251015_0922,251015,922,8105,20,199.8047928,222.8262039,208.0793518,207.0044907,199.8047928
251015_0931,251015,931,8106,38,174.4664474,228.1612747,181.0283698,177.7213943,174.4664474
251015_0939,251015,939,8108,32,203.7912918,229.024704,225.5646681,226.6826248,203.7912918
251015_0945,251015,945,8104,41,199.1794647,206.3791763,204.6783433,204.8324661,199.1794647
251015_1002,251015,1002,8109,13,164.6730698,174.7654129,167.9879999,167.186261,164.6730698
251015_1005,251015,1005,8109,26,133.0313461,156.0025772,145.3223789,147.3709419,133.0313461
251015_1012,251015,1012,8105,35,185.136438,201.3796555,196.3430867,197.2427124,185.136438
251015_1019,251015,1019,8105,28,188.6316284,194.6587692,193.144969,193.3266838,188.6316284
251015_1026,251015,1026,8100,48,176.9436722,231.565979,195.8403852,182.3713371,176.9436722
251015_1029,251015,1029,8108,15,215.0438461,231.565979,225.1409308,227.7597382,215.0438461
251015_1033,251015,1033,8104,16,180.2985535,183.1015503,182.2221488,182.2676605,180.2985535
251027_1439,251027,1439,573-03,9,0.347499302,0.452583289,0.389323348,0.388500702,0.347499302
251028_1108,251028,1108,573-03,32,0.480391896,0.533568406,0.497589729,0.488532668,0.480391896
251103_1252,251103,1252,573-03,335,0.269790396,0.685100555,0.362459592,0.357102093,0.269790396
251104_1036,251104,1036,573-02,1511,0.235487893,0.911287272,0.505400889,0.498184705,0.235487893
251110_0953,251110,953,573-03,854,-0.004877366,0.18192611,0.048061151,0.045718147,0
251111_1109,251111,1109,573-03,811,0.365290985,0.533204913,0.467774927,0.49321956,0.365290985
251112_1147,251112,1147,573-03,37,0.237567437,0.447156671,0.3579389,0.355493358,0.237567437
251112_1226,251112,1226,573-03,130,-0.424217105,0.879711771,0.549945719,0.639122155,-0.424217105
251112_1303,251112,1303,573-04,27,-0.011302544,-0.008917192,-0.010616309,-0.01083544,-0.011302544
251114_1121,251114,1121,573-02,697,0.144579045,0.668513077,0.355057011,0.341850677,0.144579045
251117_0924,251117,924,573-02,930,0.123299606,0.891802365,0.440422299,0.425139356,0.123299606
251118_0249,251118,249,573-08,1393,-0.041565264,0.36980702,0.073793894,0.058516071,0
251119_1123,251119,1123,573-10,642,-0.006281917,0.002370299,-0.00365205,-0.004112019,0
251120_0923,251120,923,573-10,9,-2.311988425,-1.344576788,-1.952499139,-2.190266562,-2.311988425
251120_0932,251120,932,573-10,47,-0.012543187,0.001194405,-0.002830681,0,0
251121_0256,251121,256,573-11,2056,0.002900323,0.106115451,0.053338083,0.053909406,0.002900323
251122_0031,251122,31,573-03,2067,-0.315551779,1.239094412,0.577257857,0.570853364,-0.315551779
251126_1417,251126,1417,573-03,1066,0.051635095,1.802710104,0.691140407,0.704449797,0.051635095
251127_1243,251127,1243,0.01,40,726.1112549,758.3470642,743.2610051,742.5243896,754.5804016
251127_1244,251127,1244,0.01,47,763.7580514,794.0103114,779.8917692,780.6644976,765.1278555
251127_1311,251127,1311,8105,17,237.760663,254.1321963,245.7269279,251.0251522,239.1707271
251127_1314,251127,1314,8105,12,231.1801583,236.1333936,233.7417997,234.090811,234.1283619
251127_1315,251127,1315,8106,11,231.4889342,235.2526903,233.1696941,232.8639418,235.2526903
251127_1316,251127,1316,8108,24,264.0399009,273.3260304,268.9148057,268.8870013,272.4671602
251127_1329,251127,1329,573-03,25,168.0465773,187.1238425,179.0887517,179.1968152,174.1644278
251127_1330,251127,1330,573-03,120,0.606994414,0.788008708,0.707177942,0.706370419,0.67239064
251201_1416,251201,1416,31006,80,41.92019577,47.44062309,44.80188878,44.69108334,43.1274147
251201_1418,251201,1418,3906,83,136.0959274,140.3984344,137.6297916,137.2851837,137.1631805
251201_1429,251201,1429,3906,34,-133.4544983,-130.5055893,-132.0201657,-132.0794083,-132.0292831
251201_1430,251201,1430,3906,93,134.015419,157.0198425,139.0181866,137.6919388,134.015419
251201_1433,251201,1433,3906,48,201.4990356,211.2498688,206.7063117,207.594944,203.3255127
251201_1434,251201,1434,3906,35,193.2563782,207.3210342,204.1456095,205.7011139,193.2563782
251201_1552,251201,1552,573-03,1056,0.046668623,1.196970749,0.52432773,0.510731059,0.046668623
251202_0951,251202,951,3906,60,133.768927,139.8401367,137.1884207,137.5445435,133.768927
251202_0955,251202,955,3906,62,-139.6956802,-134.8639206,-137.6674738,-137.7918594,-138.8811676
251202_0956,251202,956,3906,67,137.2721375,141.9928665,140.4104737,140.5389084,137.2721375
251202_1000,251202,1000,31006,103,40.45489426,52.24109917,46.4030528,46.03853416,43.6404213
251202_1003,251202,1003,31006,28,44.51507721,54.46143951,47.48218636,47.41337357,47.55215149
251202_1006,251202,1006,3906,40,204.110994,216.4713272,212.7363306,213.4371162,207.5849533
251202_1008,251202,1008,3906,56,205.162468,214.2461014,210.8904844,211.1328781,208.0970673
251202_1021,251202,1021,3906,82,125.6827698,147.7119919,138.4252904,140.0657547,139.1633102
251202_1024,251202,1024,3906,88,-16.56993885,144.1958313,88.28053104,138.4853851,-15.80336266
251202_1027,251202,1027,3906,43,118.9502243,141.2604904,133.8418654,134.4158844,121.6206024
251202_1030,251202,1030,3906,44,136.1813049,143.2377548,138.641268,138.3852242,136.1813049
251202_1033,251202,1033,3906,103,17.01178493,49.61330338,42.32492078,45.35145607,17.01178493
251202_1037,251202,1037,3906,38,44.51181564,55.78432045,49.09515833,49.10646286,44.51181564
251202_1039,251202,1039,3906,75,143.0448898,237.1059448,176.0539675,192.3675705,148.1935226
251202_1050,251202,1050,3900.01,393,0,165.9976501,101.1310418,140.0766861,0
251202_1101,251202,1101,3900.01,413,0,219.0556961,162.3430221,213.8184586,0
